MJD mag merr Rhelio Delta alpha ecl_lon ecl_lat
58801.18080 18.5878 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.19069 18.5110 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.21398 18.3839 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.22888 18.3502 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.22937 18.4150 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58801.24072 18.4402 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.02602 18.6987 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.03290 18.6903 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.03430 18.6817 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.04057 18.7108 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.04934 18.6438 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.05524 18.5880 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.07813 18.4114 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.09862 18.3374 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.10580 18.3693 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.17854 18.6427 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.20131 18.4012 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.21747 18.3717 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
58802.23149 18.4403 0.0200 2.4486 1.6384 9.564 176.2366 -2.0432
59000.01063 18.2941 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.05354 18.3695 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.08904 18.2767 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.10860 18.2841 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.13566 18.3384 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.16890 18.3660 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.18138 18.3544 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.20663 18.2803 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.20851 18.3028 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59000.23382 18.2863 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.01727 18.3422 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.01774 18.3661 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.02248 18.3644 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.02359 18.3662 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.03215 18.3486 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.04390 18.3361 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.04431 18.3558 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.05162 18.3383 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.09593 18.2992 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.12548 18.3577 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.12945 18.3258 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.15891 18.3482 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.17874 18.3157 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.18872 18.3106 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.20561 18.2876 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59001.23256 18.2575 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.01861 18.3042 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.05648 18.3438 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.05820 18.2999 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.07509 18.2676 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.12415 18.3228 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.12600 18.3215 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.13125 18.3087 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.14372 18.4096 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.17990 18.3433 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.19711 18.3067 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.21771 18.2766 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.22549 18.2581 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.22706 18.2523 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59002.24810 18.3070 0.0200 2.4938 1.4215 17.456 223.4665 3.4611
59200.08953 18.8931 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.09050 18.8340 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.13112 19.0450 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.14488 19.0797 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.19978 18.9471 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.22173 18.8890 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.22278 18.8877 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59200.24453 18.9798 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.05866 19.0072 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.07365 18.9291 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.07415 18.9275 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.09193 18.8643 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.10906 18.9141 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.13600 18.9996 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.16003 19.0455 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.19775 18.9432 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.20550 18.9127 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.21239 18.9287 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59201.23927 18.9219 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.02771 19.0358 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.02925 19.0786 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.03323 19.0672 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.04055 19.0696 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.05024 19.0196 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.06093 18.9726 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.06292 18.9521 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.07224 18.9109 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.09294 18.8934 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.10810 18.9289 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.11892 18.9404 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.12079 18.9188 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.15081 19.0867 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.15794 19.0635 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.17793 19.0195 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.18000 18.9865 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.19396 18.9617 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.20176 18.9495 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.20492 18.9565 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.23322 18.9111 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59202.24964 18.9982 0.0200 2.6475 1.9986 10.212 276.5541 -2.3617
59400.00243 18.8430 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.01781 18.9353 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.06636 18.6951 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.06795 18.6949 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.09671 18.5531 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.11255 18.6964 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.14877 18.9659 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.17791 18.8961 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.20028 18.6549 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.20039 18.6393 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.20091 18.6521 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59400.22831 18.6168 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.00594 18.8887 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.04762 18.9344 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.04840 18.9167 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.05923 18.8227 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.07689 18.6630 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.08175 18.6170 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.22619 18.5793 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.23107 18.6058 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.23279 18.6281 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.23989 18.6841 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.24321 18.6905 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59401.24336 18.7262 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.01118 18.8912 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.03672 18.9628 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.03905 19.0159 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.08685 18.5867 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.10025 18.5940 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.16060 19.0007 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.16624 18.9700 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.19784 18.6805 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.20476 18.6099 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.20521 18.6162 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.21450 18.5743 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.21801 18.5839 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.22303 18.5640 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.22835 18.5912 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.23154 18.6313 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
59402.24298 18.7174 0.0200 2.7595 1.7834 4.270 313.1840 -0.5580
